scenario_id,theme_id,top_title,top_subtitle,title,text,image
leading_lagging,court,Court,Leading & Lagging,,Restrictions on some policies favour large coroprations - especially those focusing on data privacy.  Tech integration policies rely on other global regulation to set the standards,
leading_lagging,growth_trade,Growth & Trade,Leading & Lagging,,Europe specisalises in exports in areas but relies on global imports in areas where policy has lagged behind other regions.  Exports are diversified around the world and there are new trade routes opening regularly,
us_topia,ai,AI,U(s)-topia,,AI touches most parts of life and is well integrated between sectors and systems - encouraging collaboration from business and a seamless user experience,
us_topia,energy,Energy,U(s)-topia,,"The green transition has been driven by investment and innovation in technology and markets.  The network runs efficiently, with decentralised generation playing a role in local and national energy systems",
us_topia,parliament,NEWS,15.06.2035,Hand in hand we grow ... for now.,"European collaboration in the areas of technology, climate policy and data drive economic growth, but citizens demand strong policies on resource deposit which could fuel disruption.  
The sustainable tech boom is strong, but there is uncertainty in investment which means European tech firms are rumoured to be considering other regions for growth.",
us_topia,migration,Migration,U(s)-topia,,"Positive migration balance, with more people attracted to the inclusive, strong economy.                          ",
us_topia,housing,Housing,U(s)-topia,,"Split between Areas: Mixed-use focus for community integration. 
Building in Green Spaces: Sustainable, brownfield-centric; green spaces preserved. ",
us_topia,transport,Transport,U(s)-topia,,"A modern, high tech transport system - utilising efficiencies and sustainable options giving people choice of modes",
us_topia,court,Court,U(s)-topia,,An open policy environment fosters collaboration and global innovation.  Europe has become a hub for regulation discussion especially for new tech,
us_topia,growth_trade,Growth & Trade,U(s)-topia,,Europe is a strong player in the global markets - open trade has encouraged collaboration across regions and efficient trading relying on new technologies.  Imports and exports are growing and trade routes are diverse.  ,
